round,time_start,time_end,lightweight_accuracy,heavyweight_accuracy,global_lightweight_accuracy,global_heavyweight_accuracy,lightweight_precision,heavyweight_precision,lightweight_recall,heavyweight_recall,lightweight_f1,heavyweight_f1,transfer_accuracy_light_to_heavy,transfer_accuracy_heavy_to_light,num_lightweight_samples,num_heavyweight_samples
81,400,405,0.7786111111111111,0.8358333333333333,0.6241666666666666,0.6208333333333333,0.8303481508457043,0.8937757489219261,0.7851199216837984,0.8066568771414587,0.8013377086719348,0.8468550290093112,0.97,0.97,30,30
82,405,410,0.7852777777777776,0.8352777777777778,0.61,0.6175,0.8256290554705649,0.8973128994737897,0.8071463534018601,0.801762114537445,0.8098873285439208,0.8455943945145878,0.9725,0.9725,30,30
83,410,415,0.7836111111111111,0.835,0.6066666666666667,0.6166666666666667,0.8270887597675816,0.8971816253432626,0.801762114537445,0.8012726382770435,0.8079684736357508,0.8453101030957182,0.9833333333333333,0.9833333333333333,30,30
84,415,420,0.7797222222222221,0.8388888888888889,0.6141666666666666,0.615,0.8319173563684318,0.88525032113114,0.7856093979441997,0.8228095937347039,0.8022174225662825,0.8522589264881004,0.9791666666666666,0.9791666666666666,30,30
85,420,425,0.7844444444444445,0.8380555555555556,0.6133333333333333,0.6125,0.8325496930153456,0.8893298739005213,0.7949094468918257,0.8164464023494861,0.8075217658761312,0.8505647367514385,0.9858333333333333,0.9858333333333333,30,30
86,425,430,0.7816666666666667,0.8361111111111111,0.6066666666666667,0.6233333333333333,0.8321624251349281,0.8926732834038861,0.7890357317670094,0.808614782183064,0.8042464934031198,0.8475883971463133,0.975,0.975,30,30
87,430,435,0.7811111111111111,0.8191666666666667,0.6108333333333333,0.6175,0.8317616620321715,0.8548004430220445,0.7880567792462064,0.8257464512971121,0.8035093549982312,0.8387830861171048,0.9883333333333333,0.9883333333333333,30,30
88,435,440,0.7852777777777779,0.8302777777777778,0.6216666666666667,0.61,0.838203848072269,0.896013269253423,0.7890357317670094,0.7934410181106216,0.8066065963482977,0.8404353095898528,0.98,0.98,30,30
89,440,445,0.785,0.831111111111111,0.6116666666666667,0.6183333333333333,0.8413152697586073,0.8961966188913829,0.7836514929025942,0.7949094468918257,0.8052832734895001,0.8411997429892591,0.9883333333333333,0.9883333333333333,30,30
90,445,450,0.7880555555555556,0.8116666666666666,0.6125,0.6225,0.8425826805990435,0.8966854185310055,0.7895252080274107,0.7557513460597161,0.8083617829946061,0.8186147844256877,0.9783333333333334,0.9783333333333334,30,30
91,450,455,0.7888888888888889,0.8113888888888888,0.6125,0.6225,0.8429755850342552,0.8961432612576666,0.7905041605482134,0.7557513460597161,0.8092855613945158,0.8184680123037675,0.985,0.985,30,30
92,455,460,0.7941666666666666,0.8208333333333334,0.615,0.615,0.8371251781352275,0.8967613429526425,0.8061674008810572,0.7738619676945668,0.817070391092026,0.8293143026492106,0.9883333333333333,0.9883333333333333,30,30
93,460,465,0.7958333333333334,0.8116666666666666,0.6191666666666666,0.615,0.8387112353624263,0.8577639518716892,0.8071463534018601,0.8061674008810572,0.8183918367107804,0.8297702039729229,0.9841666666666666,0.9841666666666666,30,30
94,465,470,0.7969444444444443,0.8136111111111112,0.6075,0.6208333333333333,0.8397234010234472,0.8573127179098057,0.8076358296622613,0.811062163485071,0.8192640288429218,0.8320295896740119,0.98,0.98,30,30
95,470,475,0.7913888888888888,0.8161111111111111,0.6133333333333333,0.6158333333333333,0.8499366704771719,0.8561517601368717,0.7846304454233969,0.8179148311306902,0.8095172962130678,0.8350804845326806,0.9858333333333333,0.9858333333333333,30,30
96,475,480,0.7888888888888889,0.8194444444444445,0.6225,0.6116666666666667,0.8504568749676037,0.8564283203206359,0.7787567302985806,0.824278022515908,0.8066680667712474,0.8387434653518477,0.9808333333333333,0.9808333333333333,30,30
97,480,485,0.791111111111111,0.8216666666666667,0.6166666666666667,0.6225,0.8514965603077419,0.8598494673338188,0.7816935878609886,0.8237885462555066,0.8089314092782498,0.8401625296347084,0.9791666666666666,0.9791666666666666,30,30
98,485,490,0.7908333333333334,0.8241666666666667,0.6191666666666666,0.6258333333333334,0.8513154435893169,0.8617932621887424,0.7816935878609886,0.8267254038179148,0.8088169276062303,0.842529621494727,0.9766666666666667,0.9766666666666667,30,30
99,490,495,0.7905555555555556,0.8288888888888889,0.62,0.6208333333333333,0.8550725166908494,0.8628148365428089,0.7753303964757708,0.8350465002447381,0.8074305619427271,0.847480630533734,0.9808333333333333,0.9808333333333333,30,30
100,495,500,0.7916666666666666,0.8258333333333333,0.62,0.6183333333333333,0.8561001681013504,0.8644407050188393,0.7758198727361724,0.8262359275575134,0.8082819895462237,0.8436019446528275,0.9833333333333333,0.9833333333333333,30,30
101,500,505,0.7925,0.8352777777777778,0.6241666666666666,0.63,0.8576282808434709,0.906077010705058,0.7758198727361724,0.7929515418502202,0.8088114109981225,0.8441821538474663,0.9891666666666666,0.9891666666666666,30,30
102,505,510,0.7952777777777778,0.8247222222222222,0.6233333333333333,0.6316666666666667,0.8560642728956993,0.9082900581135559,0.7836514929025942,0.7699461576113559,0.812139438698034,0.83178447411852,0.98,0.98,30,30
103,510,515,0.7941666666666666,0.8125,0.6208333333333333,0.6425,0.853496846383925,0.8654373775047727,0.7846304454233971,0.7963778756730299,0.8114629679781987,0.828395317325687,0.9733333333333334,0.9733333333333334,30,30
104,515,520,0.7930555555555555,0.8236111111111111,0.6133333333333333,0.7375,0.8561266061088125,0.9085246735859945,0.7787567302985806,0.767498776309349,0.8096733523714329,0.8302429566150633,0.8425,0.8425,30,30
105,520,525,0.7925,0.8122222222222222,0.6866666666666666,0.6191666666666666,0.8600530975384574,0.864923129999643,0.7709251101321586,0.7963778756730299,0.8076564485717328,0.8282855193107063,0.7625,0.7625,30,30
106,525,530,0.8047222222222222,0.8197222222222221,0.6008333333333333,0.6283333333333333,0.8481583835242413,0.9127902855566011,0.811062163485071,0.7552618697993148,0.8253621867536634,0.8248110451239942,0.6091666666666666,0.6091666666666666,30,30
107,530,535,0.7813888888888889,0.8419444444444445,0.6141666666666666,0.6158333333333333,0.8923463019538764,0.8392998457182119,0.7077826725403819,0.8962310327949096,0.783511882030887,0.8663036941856052,0.5266666666666666,0.5266666666666666,30,30
108,535,540,0.8302777777777779,0.8013888888888889,0.6108333333333333,0.6125,0.8534735689147454,0.9096034269853238,0.8585413607440039,0.7224669603524229,0.8515177115988258,0.8045251571046594,0.5683333333333334,0.5683333333333334,30,30
109,540,545,0.8155555555555556,0.8141666666666666,0.6441666666666667,0.6616666666666666,0.8819541692894575,0.9009271750507178,0.7890357317670094,0.756730298580519,0.8280879287468325,0.8211412361735778,0.9175,0.9175,30,30
110,545,550,0.7925,0.8319444444444445,0.6166666666666667,0.6525,0.8921914586962969,0.8626660066919861,0.7268722466960353,0.8409202153695546,0.7972547105835129,0.8507091011152278,0.6591666666666667,0.6591666666666667,30,30
111,550,555,0.8111111111111112,0.7813888888888889,0.6241666666666666,0.6208333333333333,0.8662697487697487,0.9386936696132526,0.7953989231522272,0.6583455702398434,0.8255088479704819,0.7716693059367886,0.9433333333333334,0.9433333333333334,30,30
112,555,560,0.8105555555555556,0.7769444444444443,0.6391666666666667,0.6191666666666666,0.8398877278179827,0.9272681589689599,0.8281938325991188,0.6612824278022517,0.8313052856572344,0.7676155217493871,0.9066666666666666,0.9066666666666666,30,30
113,560,565,0.7944444444444444,0.793888888888889,0.63,0.6333333333333333,0.8407585176819506,0.9072436059821968,0.7914831130690162,0.7102300538423886,0.8130857831289594,0.793762760942081,0.955,0.955,30,30
114,565,570,0.7802777777777777,0.8163888888888889,0.6075,0.6375,0.8535253197792322,0.9102426659835278,0.7459618208516887,0.7513460597161038,0.7916642735381695,0.8203043691233901,0.9583333333333334,0.9583333333333334,30,30
115,570,575,0.7847222222222223,0.8058333333333333,0.615,0.6283333333333333,0.860165603100894,0.908218090640565,0.7469407733724914,0.7327459618208517,0.7950597809737676,0.8077826664252422,0.965,0.965,30,30
116,575,580,0.8000000000000002,0.7969444444444446,0.6241666666666666,0.6083333333333333,0.8596524347103305,0.9092246718325582,0.7787567302985806,0.7141458639255994,0.8136661030628561,0.7968057642158676,0.9608333333333333,0.9608333333333333,30,30
117,580,585,0.7977777777777778,0.7988888888888889,0.625,0.6208333333333333,0.8636040551512728,0.9087529720741907,0.7699461576113559,0.7185511502692119,0.8104070146049148,0.799180722885005,0.9658333333333333,0.9658333333333333,30,30
